                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.69351,                 1.2666,                0.44224,                0.96371,                0.91632,                0.86423,                0.92872,                0.73633,                0.88783,                 0.8259,                 0.8863,                0.57465,                0.76099,                 1.2786,                0.45908,                0.90681,              0.0033332,              0.0033332,              0.0033332
                      2,                0.82952,                 1.4898,                0.59475,                 1.0293,                0.90732,                0.85541,                0.92215,                0.72202,                 0.8787,                0.81826,                0.87944,                 0.5623,                0.77078,                 1.2917,                0.48175,                0.91283,              0.0058416,              0.0058416,              0.0058416
                      3,                0.92675,                 1.6557,                0.71356,                 1.0773,                 0.8972,                0.82995,                0.90711,                0.69363,                0.87165,                0.79268,                0.86492,                0.54049,                0.82111,                 1.3709,                0.54209,                 0.9383,              0.0075249,              0.0075249,              0.0075249
                      4,                 0.9362,                 1.6811,                0.73099,                 1.0831,                0.89031,                0.80699,                0.89399,                0.67272,                0.86576,                 0.7697,                0.85082,                0.52386,                0.86737,                 1.4558,                0.60875,                0.96038,              0.0062875,              0.0062875,              0.0062875
                      5,                0.88999,                 1.6042,                0.67292,                 1.0607,                0.89065,                0.81933,                0.89976,                0.68189,                0.86457,                0.78221,                0.85667,                0.53104,                0.83903,                 1.4044,                 0.5669,                0.94562,                0.00505,                0.00505,                0.00505
                      6,                0.85391,                 1.5463,                0.63029,                 1.0408,                0.89169,                 0.8295,                0.90504,                0.69111,                0.86541,                0.79201,                0.86085,                0.53787,                0.81856,                 1.3717,                0.54318,                0.93325,              0.0038125,              0.0038125,              0.0038125
                      7,                0.81526,                 1.4831,                0.58724,                 1.0237,                0.89696,                0.83546,                0.91062,                0.70063,                0.86835,                 0.7998,                 0.8653,                0.54295,                0.80354,                 1.3494,                0.52823,                0.92748,               0.002575,               0.002575,               0.002575
                      8,                0.77318,                 1.4158,                0.53837,                 1.0053,                0.90431,                0.84117,                0.91611,                0.71083,                0.87486,                0.80347,                0.86938,                0.55089,                0.79001,                 1.3284,                0.51208,                 0.9204,              0.0013375,              0.0013375,              0.0013375
